source_url,target_url,status_code,preserve_query_string
http://vietpaw.com/dog-toys/chew-toys/index.html,https://vietpaw.com/dog-toys/chew-toys/,301,True
http://www.vietpaw.com/dog-toys/chew-toys/index.html,https://vietpaw.com/dog-toys/chew-toys/,301,True
https://vietpaw.com/dog-toys/fetch-toys/index.html,https://vietpaw.com/dog-toys/fetch-toys/,301,True
https://www.vietpaw.com/dog-toys/fetch-toys/index.html,https://vietpaw.com/dog-toys/fetch-toys/,301,True
http://vietpaw.com/dog-toys/fetch-toys/index.html,https://vietpaw.com/dog-toys/fetch-toys/,301,True
http://www.vietpaw.com/dog-toys/fetch-toys/index.html,https://vietpaw.com/dog-toys/fetch-toys/,301,True
https://vietpaw.com/dog-toys/puzzle-toys/index.html,https://vietpaw.com/dog-toys/puzzle-toys/,301,True
https://www.vietpaw.com/dog-toys/puzzle-toys/index.html,https://vietpaw.com/dog-toys/puzzle-toys/,301,True
http://vietpaw.com/dog-toys/puzzle-toys/index.html,https://vietpaw.com/dog-toys/puzzle-toys/,301,True
http://www.vietpaw.com/dog-toys/puzzle-toys/index.html,https://vietpaw.com/dog-toys/puzzle-toys/,301,True
https://vietpaw.com/dog-toys/rope-toys/index.html,https://vietpaw.com/dog-toys/rope-toys/,301,True
https://www.vietpaw.com/dog-toys/rope-toys/index.html,https://vietpaw.com/dog-toys/rope-toys/,301,True
http://vietpaw.com/dog-toys/rope-toys/index.html,https://vietpaw.com/dog-toys/rope-toys/,301,True
http://www.vietpaw.com/dog-toys/rope-toys/index.html,https://vietpaw.com/dog-toys/rope-toys/,301,True
https://vietpaw.com/factory/index.html,https://vietpaw.com/factory/,301,True
https://www.vietpaw.com/factory/index.html,https://vietpaw.com/factory/,301,True
http://vietpaw.com/factory/index.html,https://vietpaw.com/factory/,301,True
http://www.vietpaw.com/factory/index.html,https://vietpaw.com/factory/,301,True
https://vietpaw.com/guides/index.html,https://vietpaw.com/guides/,301,True
https://www.vietpaw.com/guides/index.html,https://vietpaw.com/guides/,301,True
http://vietpaw.com/guides/index.html,https://vietpaw.com/guides/,301,True
http://www.vietpaw.com/guides/index.html,https://vietpaw.com/guides/,301,True
https://vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/index.html,https://vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/,301,True
https://www.vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/index.html,https://vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/,301,True
http://vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/index.html,https://vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/,301,True
http://www.vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/index.html,https://vietpaw.com/guides/are-coffee-wood-chews-safe-for-dogs/,301,True
https://vietpaw.com/guides/are-dog-toys-biodegradable/index.html,https://vietpaw.com/guides/are-dog-toys-biodegradable/,301,True
https://www.vietpaw.com/guides/are-dog-toys-biodegradable/index.html,https://vietpaw.com/guides/are-dog-toys-biodegradable/,301,True
http://vietpaw.com/guides/are-dog-toys-biodegradable/index.html,https://vietpaw.com/guides/are-dog-toys-biodegradable/,301,True
http://www.vietpaw.com/guides/are-dog-toys-biodegradable/index.html,https://vietpaw.com/guides/are-dog-toys-biodegradable/,301,True
https://vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/index.html,https://vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/,301,True
https://www.vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/index.html,https://vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/,301,True
http://vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/index.html,https://vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/,301,True
http://www.vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/index.html,https://vietpaw.com/guides/best-natural-chews-for-aggressive-chewers/,301,True
https://vietpaw.com/guides/coffee-wood-chew-size-guide/index.html,https://vietpaw.com/guides/coffee-wood-chew-size-guide/,301,True
https://www.vietpaw.com/guides/coffee-wood-chew-size-guide/index.html,https://vietpaw.com/guides/coffee-wood-chew-size-guide/,301,True
http://vietpaw.com/guides/coffee-wood-chew-size-guide/index.html,https://vietpaw.com/guides/coffee-wood-chew-size-guide/,301,True
http://www.vietpaw.com/guides/coffee-wood-chew-size-guide/index.html,https://vietpaw.com/guides/coffee-wood-chew-size-guide/,301,True
